  🇨🇳央视频道,#genre#
CCTV1综合,http://zpp93.eu.org:35455/gaoma/cctv1.m3u8
CCTV1综合,http://zpp93.eu.org:35455/itv/6000000001000029752.m3u8?cdn=wasusyt
CCTV1综合,http://zpp93.eu.org:35455/itv/5000000004000002226.m3u8?cdn=bestzb
CCTV1综合,http://zpp93.eu.org:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV2财经,http://zpp93.eu.org:35455/gaoma/cctv2.m3u8
CCTV2财经,http://zpp93.eu.org:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV2财经,http://zpp93.eu.org:35455/itv/6000000001000014161.m3u8?cdn=wasusyt
CCTV3综艺,http://zpp93.eu.org:35455/gaoma/cctv3.m3u8
CCTV3综艺,http://zpp93.eu.org:35455/itv/6000000001000022313.m3u8?cdn=wasusyt
CCTV3综艺,http://zpp93.eu.org:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV3综艺,http://183.255.10.90:6610/200000001898/460000089800010212/1.m3u8?IASHttpSessionId=OTT
CCTV4中文国际,http://zpp93.eu.org:35455/gaoma/cctv4.m3u8
CCTV4中文国际,http://zpp93.eu.org:35455/itv/5000000011000031102.m3u8?cdn=bestzb
CCTV4中文国际,http://zpp93.eu.org:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV5体育,http://zpp93.eu.org:35455/gaoma/cctv5.m3u8
CCTV5体育,http://zpp93.eu.org:35455/itv/1000000005000025222.m3u8?cdn=ystenlive
CCTV5体育,http://zpp93.eu.org:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV5体育,http://183.255.10.90:6610/200000001898/460000089800010063/1.m3u8?IASHttpSessionId=OTT
CCTV5+体育赛事,http://zpp93.eu.org:35455/gaoma/cctv5p.m3u8
CCTV5+体育赛事,http://zpp93.eu.org:35455/itv/6000000001000015875.m3u8?cdn=wasusyt
CCTV5+体育赛事,http://zpp93.eu.org:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV5+体育赛事,http://183.255.10.90:6610/200000001898/460000089800010202/1.m3u8?IASHttpSessionId=OTT
CCTV6电影,http://zpp93.eu.org:35455/itv/1000000001000001737.m3u8?cdn=ystenlive
CCTV6电影,http://zpp93.eu.org:35455/itv/6000000001000004574.m3u8?cdn=wasusyt
CCTV6电影,http://zpp93.eu.org:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV7国防军事,http://zpp93.eu.org:35455/gaoma/cctv7.m3u8
CCTV7国防军事,http://zpp93.eu.org:35455/itv/1000000001000024341.m3u8?cdn=ystenlive
CCTV7国防军事,http://zpp93.eu.org:35455/itv/6000000001000009055.m3u8?cdn=wasusyt
CCTV7国防军事,http://zpp93.eu.org:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV8电视剧,http://zpp93.eu.org:35455/gaoma/cctv8.m3u8
CCTV8电视剧,http://zpp93.eu.org:35455/itv/6000000001000001070.m3u8?cdn=wasusyt
CCTV8电视剧,http://zpp93.eu.org:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV9纪录,http://zpp93.eu.org:35455/gaoma/cctv9.m3u8
CCTV9纪录,http://zpp93.eu.org:35455/itv/1000000001000014583.m3u8?cdn=ystenlive
CCTV9纪录,http://zpp93.eu.org:35455/itv/6000000001000032162.m3u8?cdn=wasusyt
CCTV9纪录,http://zpp93.eu.org:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV10科教,http://zpp93.eu.org:35455/gaoma/cctv10.m3u8
CCTV10科教,http://zpp93.eu.org:35455/itv/1000000001000023734.m3u8?cdn=ystenlive
CCTV10科教,http://zpp93.eu.org:35455/itv/5000000004000012827.m3u8?cdn=bestzb
CCTV10科教,http://zpp93.eu.org:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV11戏曲,http://zpp93.eu.org:35455/gaoma/cctv11.m3u8
CCTV11戏曲,http://zpp93.eu.org:35455/itv/5000000011000031106.m3u8?cdn=bestzb
CCTV11戏曲,http://zpp93.eu.org:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV12社会与法,http://zpp93.eu.org:35455/gaoma/cctv12.m3u8
CCTV12社会与法,http://zpp93.eu.org:35455/itv/1000000001000032494.m3u8?cdn=ystenlive
CCTV12社会与法,http://zpp93.eu.org:35455/itv/6000000001000022586.m3u8?cdn=wasusyt
