🕘️更新时间,#genre#
2025011902:21:56,http://223.105.252.60/PLTV/4/224/3221228581/index.m3u8?servicetype=1$白名单
4K,#genre#
CCTV164K,http://124.152.241.9:8563/udp/239.255.36.142:8231
CCTV164K,http://lishiwan.xicp.net:8563/udp/239.255.36.142:8231
CCTV164K,http://t8622699o8.vicp.fun:60024/itv/5000000008000023254.m3u8?cdn=bestzb
CCTV164K,http://8.210.74.247:35455/gaoma/cctv4k16_10m.m3u8
CCTV164K,http://li0580.top:35455/itv/5000000008000023254.m3u8?cdn=bestzb
CCTV4K,http://125.89.163.44:8888/udp/239.77.0.174:5146
CCTV4K,http://125.89.163.44:8888/udp/239.77.0.194:5146
CCTV4K,http://222.95.92.12:4000/rtp/239.49.0.82:8000
CCTV4K,http://47.109.155.164/组播/广东.php?id=/udp/239.77.0.194:5146
CCTV4K,http://47.109.155.164/组播/广东.php?id=/udp/239.77.1.180:5146
CCTV4K,http://beijing_unicom_udpxy_123_113_237_8888_1.isus.cc:8888/rtp/239.3.1.245:2000
CCTV4K,http://majian.ixiaobai.net:5540/udp/239.37.0.34:5540
CCTV4K,http://www.8700956.top:18888/rtp/239.81.1.078:4056
FASHION4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
LOUPE4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
LOVE4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8?blog.ntnas.top
LOVE4K,https://stream1.freetv.fun/lovenature4k-3.m3u8
NBA咪咕贰4K,http://li0580.top:35455/itv/3000000010000015686.m3u8?cdn=FifastbLive
SITV欢笑剧场4K,http://li0580.top:35455/itv/5000000007000010001.m3u8?cdn=bestzb
SITV欢笑剧场4K,http://t8622699o8.vicp.fun:60024/itv/5000000007000010001.m3u8?cdn=bestzb
爱上4K,http://114.252.236.205:8000/rtp/239.3.1.236:2000
爱上4K,http://annaxi.lw-home.com:11111/udp/239.253.254.102:8000
爱上4K,http://beijing_unicom_udpxy_123_113_237_8888_1.isus.cc:8888/rtp/239.3.1.236:2000
爱上4K,http://ikuai.zlsip.top:4022/rtp/239.3.1.236:2000
北京4K超清,http://ikuai.zlsip.top:4022/rtp/239.3.1.249:8001
纯享4K,http://li0580.top:35455/itv/1000000004000011651.m3u8?cdn=ystenlive
纯享4K,http://t8622699o8.vicp.fun:60024/itv/1000000004000011651.m3u8?cdn=ystenlive
翡翠台4K,http://cdn.132.us.kg/live/fct4k/stream.m3u8
广东综艺4K,http://47.109.155.164/组播/广东.php?id=/udp/239.77.1.237:5146
